OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
192,191,102,40800,0.522734106,10.66132832,10.13859421,3.378363705,1.891143103,344.5930979,3.315913439,5.418258142
193,192,391,156400,0.164542988,7.88666296,7.722119972,2.260985915,1.558872091,884.0454928,1.890768051,4.1642313
194,193,2500,1000000,0.03455979,11.10677242,11.07221263,2.905855029,2.097754647,7264.637573,2.290987968,5.871243858
195,194,2500,1000000,0.078306861,10.79441643,10.71610957,3.086493448,1.811513363,7716.233619,2.828886628,5.531484509
196,195,2500,1000000,0.023809452,10.18142986,10.15762041,2.726893257,1.571111717,6817.233141,2.521034479,4.811819553
197,196,2500,1000000,0.030905768,10.44639587,10.41549011,1.987763465,1.402660917,4969.408662,1.643424511,3.839457273
198,197,2500,1000000,0.079076059,12.03948784,11.96041178,2.505840328,1.744107835,6264.600819,2.060285926,4.91710825
199,198,2500,1000000,0.02077703,22.83324051,22.81246348,3.636619567,3.038484697,9091.548917,2.753877163,7.489569664
200,199,2500,1000000,0.113929436,13.84632587,13.73239644,2.282194441,1.593317561,5705.486103,2.044125795,3.726871085
201,200,2500,1000000,0.053462256,14.34733295,14.2938707,3.296637273,2.41493266,8241.593182,2.594588995,6.546431637
202,201,2500,1000000,0.078506656,6.757408619,6.678901963,2.134133038,1.101180902,5335.332594,2.027069569,3.608342862
203,202,2500,1000000,0.090232618,14.60180664,14.51157402,2.45462347,1.757249718,6136.558675,2.126697063,4.176840305
204,203,2500,1000000,0.051204346,7.963209152,7.912004806,2.118200817,1.197194722,5295.502041,1.980877876,3.594396591
205,204,2500,1000000,0.098674826,6.487551689,6.388876863,1.837422808,1.003740304,4593.557021,1.707173288,3.13371048
206,205,2500,1000000,0.007385358,5.811902523,5.804517165,1.968789562,1.055371743,4921.973905,1.836041093,3.504508495
207,206,2500,1000000,0.077824011,10.60617447,10.52835046,1.889386255,1.158185177,4723.465638,1.682690382,3.318157673
208,207,800,320000,0.108445346,7.516829967,7.408384621,1.839144793,0.988519029,1471.315834,1.715376556,2.992664361
209,208,300,120000,0,6.306768417,6.306768417,1.944225952,1.581817565,583.2677857,1.774905324,4.385333538
210,209,2500,1000000,0,9.988977432,9.988977432,1.944217444,1.990368799,4860.54361,1.540765166,4.753074646
211,210,2500,1000000,0,8.331478119,8.331478119,2.115747548,1.393811266,5289.368869,1.866047025,3.888584137
212,211,2500,1000000,0.073102675,13.74563408,13.6725314,3.66415408,2.327042106,9160.385201,3.22584939,6.868672562
213,212,2500,1000000,0.061889213,19.01203346,18.95014425,3.070971497,2.432922466,7677.428743,2.468502283,5.821117401
214,213,2500,1000000,0.065541297,28.21758652,28.15204522,4.913838482,4.079888738,12284.5962,3.85206306,9.704287052
215,214,2500,1000000,0.196317241,31.50020027,31.30388303,6.136994271,4.09396867,15342.48568,5.348532915,11.61416063
216,215,2500,1000000,0.069436617,15.85522747,15.78579085,2.691965401,1.820564304,6729.913503,2.36082077,4.724594593
217,216,2500,1000000,0.051168535,12.63672447,12.58555594,2.363425905,1.400931125,5908.564763,2.177858233,4.0557971
218,217,2500,1000000,0.152071893,10.70316029,10.55108839,3.152098473,1.956452193,7880.246182,2.69490242,5.972592497
219,218,2500,1000000,0.086232848,11.92869282,11.84245997,2.339161345,1.651763102,5847.903362,1.921078503,4.427788448
220,219,2500,1000000,0.019736249,8.47971344,8.459977191,1.982814956,1.203825663,4957.03739,1.737167358,3.576616287
221,220,2500,1000000,0.036490396,7.569529057,7.533038661,2.064977477,1.11659851,5162.443692,1.938626885,3.523111105
222,221,2500,1000000,0.025651701,6.464969635,6.439317934,1.713688031,1.02991064,4284.220079,1.543586493,3.126452637
223,222,2500,1000000,0.051496532,7.411978245,7.360481713,1.811720195,1.076449095,4529.300488,1.586512208,3.209862709
224,223,1037,414800,0.086935647,19.89775276,19.81081712,2.125470565,2.22220364,2204.112976,1.583629966,3.806708097
225,224,300,120000,0,8.546178818,8.546178818,2.322419184,1.7755824,696.7257551,2.215769768,4.334729624
226,225,2500,1000000,0,10.6861496,10.6861496,2.244442755,1.644713352,5611.106887,2.182320833,4.195515156
227,226,2500,1000000,0.017783955,12.52835751,12.51057355,2.08508366,1.444840285,5212.70915,1.790423632,3.601201415
228,227,2500,1000000,0.043816388,14.75337791,14.70956153,2.6784942,1.731337178,6696.235501,2.294409752,4.941454411
229,228,2500,1000000,0.152287886,14.45257664,14.30028875,3.73381389,2.134866051,9334.534726,3.417601347,6.461837387
230,229,2500,1000000,0.102566756,18.12051964,18.01795288,3.91107728,2.689131659,9777.693201,3.219403505,7.654761314
231,230,2500,1000000,0.086732805,14.85376167,14.76702887,2.560121792,2.260967659,6400.304479,1.920248568,5.613224506
232,231,2500,1000000,0.124047421,7.255530834,7.131483413,2.16777866,1.225565535,5419.446651,1.954688907,3.778804398
233,232,2500,1000000,0.011786886,7.677826881,7.666039995,2.175381565,1.250813801,5438.453914,1.96136874,3.843879485
234,233,2500,1000000,0.060278583,14.61834812,14.55806954,2.901222864,1.997273935,7253.05716,2.423415184,5.339703274
235,234,2500,1000000,0.060407899,11.44173336,11.38132546,2.460342486,1.88621594,6150.856215,2.00467515,4.866593885
236,235,2500,1000000,0,5.628162384,5.628162384,1.685215388,0.941990649,4213.038469,1.559629917,2.979003
237,236,2500,1000000,0.085331336,9.903079987,9.817748651,1.858015045,1.328980492,4645.037612,1.585868597,3.361227274
